Flag   |SlotID |FighterID  |CSSSlotID  |CosmeticID |Internal Name   |Fighter Name
       |0x54   |0x54       |0x54       |0x54       |ExFighter54     |ExFighter0x54
       |0x55   |0x55       |0x55       |0x55       |ExFighter55     |ExFighter0x55
       |0x56   |0x56       |0x56       |0x56       |ExFighter56     |ExFighter0x56
       |0x57   |0x57       |0x57       |0x57       |ExFighter57     |ExFighter0x57
       |0x58   |0x58       |0x58       |0x58       |ExFighter58     |ExFighter0x58
       |0x59   |0x59       |0x59       |0x59       |ExFighter59     |ExFighter0x59
       |0x5A   |0x5A       |0x5A       |0x5A       |ExFighter5A     |ExFighter0x5A
       |0x5B   |0x5B       |0x5B       |0x5B       |ExFighter5B     |ExFighter0x5B
       |0x5C   |0x5C       |0x5C       |0x5C       |ExFighter5C     |ExFighter0x5C
       |0x5D   |0x5D       |0x5D       |0x5D       |ExFighter5D     |ExFighter0x5D
       |0x5E   |0x5E       |0x5E       |0x5E       |ExFighter5E     |ExFighter0x5E
       |0x5F   |0x5F       |0x5F       |0x5F       |ExFighter5F     |ExFighter0x5F
       |0x60   |0x60       |0x60       |0x60       |ExFighter60     |ExFighter0x60
       |0x61   |0x61       |0x61       |0x61       |ExFighter61     |ExFighter0x61
       |0x62   |0x62       |0x62       |0x62       |ExFighter62     |ExFighter0x62
       |0x63   |0x63       |0x63       |0x63       |ExFighter63     |ExFighter0x63
       |0x64   |0x64       |0x64       |0x64       |ExFighter64     |ExFighter0x64
       |0x65   |0x65       |0x65       |0x65       |ExFighter65     |ExFighter0x65
       |0x66   |0x66       |0x66       |0x66       |ExFighter66     |ExFighter0x66
       |0x67   |0x67       |0x67       |0x67       |ExFighter67     |ExFighter0x67
       |0x68   |0x68       |0x68       |0x68       |ExFighter68     |ExFighter0x68
       |0x69   |0x69       |0x69       |0x69       |ExFighter69     |ExFighter0x69
       |0x6A   |0x6A       |0x6A       |0x6A       |ExFighter6A     |ExFighter0x6A
       |0x6B   |0x6B       |0x6B       |0x6B       |ExFighter6B     |ExFighter0x6B
       |0x6C   |0x6C       |0x6C       |0x6C       |ExFighter6C     |ExFighter0x6C
       |0x6D   |0x6D       |0x6D       |0x6D       |ExFighter6D     |ExFighter0x6D
       |0x6E   |0x6E       |0x6E       |0x6E       |ExFighter6E     |ExFighter0x6E
       |0x6F   |0x6F       |0x6F       |0x6F       |ExFighter6F     |ExFighter0x6F
       |0x70   |0x70       |0x70       |0x70       |ExFighter70     |ExFighter0x70
       |0x71   |0x71       |0x71       |0x71       |ExFighter71     |ExFighter0x71
       |0x72   |0x72       |0x72       |0x72       |ExFighter72     |ExFighter0x72
       |0x73   |0x73       |0x73       |0x73       |ExFighter73     |ExFighter0x73
       |0x74   |0x74       |0x74       |0x74       |ExFighter74     |ExFighter0x74
       |0x75   |0x75       |0x75       |0x75       |ExFighter75     |ExFighter0x75
       |0x76   |0x76       |0x76       |0x76       |ExFighter76     |ExFighter0x76
       |0x77   |0x77       |0x77       |0x77       |ExFighter77     |ExFighter0x77
       |0x78   |0x78       |0x78       |0x78       |ExFighter78     |ExFighter0x78
       |0x79   |0x79       |0x79       |0x79       |ExFighter79     |ExFighter0x79
       |0x7A   |0x7A       |0x7A       |0x7A       |ExFighter7A     |ExFighter0x7A
       |0x7B   |0x7B       |0x7B       |0x7B       |ExFighter7B     |ExFighter0x7B
       |0x7C   |0x7C       |0x7C       |0x7C       |ExFighter7C     |ExFighter0x7C
       |0x7D   |0x7D       |0x7D       |0x7D       |ExFighter7D     |ExFighter0x7D
       |0x7E   |0x7E       |0x7E       |0x7E       |ExFighter7E     |ExFighter0x7E
       |0x7F   |0x7F       |0x7F       |0x7F       |ExFighter7F     |ExFighter0x7F
